date,Close,Open,High,Low,Change,Change value,press_c,0_percent_c,1_percent_c,2_percent_c,뉴스개수_c,press_f,0_percent_f,1_percent_f,2_percent_f,뉴스개수_f,부정_c,긍정_c,중립_c,부정_f,긍정_f,중립_f
20211104,1185.75,1178.89,1188.81,1176.94,0.0059,6.970000000000027,일반언론,0.26944444444444443,0.125,0.6055555555555555,720.0,네이버금융,0.75,0.25,0.0,16.0,194.0,90.0,436.0,12.0,4.0,0.0
20211105,1181.05,1185.97,1188.43,1181.21,-0.004,-4.7000000000000455,일반언론,0.272863568215892,0.1454272863568216,0.5817091454272864,667.0,네이버금융,0.7857142857142857,0.14285714285714285,0.07142857142857142,14.0,182.0,97.0,388.0,11.0,2.0,1.0
20211108,1180.84,1181.51,1186.74,1178.93,-0.0002,-0.2100000000000363,일반언론,0.25626204238921,0.11368015414258188,0.630057803468208,1038.0,네이버금융,0.47368421052631576,0.3157894736842105,0.21052631578947367,19.0,266.0,118.0,654.0,9.0,6.0,4.0
20211109,1178.4,1180.95,1182.1,1173.36,-0.0021,-2.439999999999827,일반언론,0.28075253256150506,0.11432706222865413,0.6049204052098408,691.0,네이버금융,0.3125,0.5625,0.125,16.0,194.0,79.0,418.0,5.0,9.0,2.0
20211110,1185.04,1178.51,1186.15,1176.82,0.0056,6.639999999999873,일반언론,0.2793053545586107,0.11866859623733719,0.6020260492040521,691.0,네이버금융,1.0,0.0,0.0,14.0,193.0,82.0,416.0,14.0,0.0,0.0
20211111,1182.39,1185.15,1187.3,1178.17,-0.0022,-2.649999999999864,일반언론,0.23002754820936638,0.13360881542699724,0.6363636363636364,726.0,네이버금융,0.7333333333333333,0.26666666666666666,0.0,15.0,167.0,97.0,462.0,11.0,4.0,0.0
20211112,1179.2,1182.45,1184.1,1176.31,-0.0027,-3.1900000000000546,일반언론,0.23939393939393938,0.14545454545454545,0.6151515151515151,660.0,네이버금융,0.17647058823529413,0.7058823529411765,0.11764705882352941,17.0,158.0,96.0,406.0,3.0,12.0,2.0
20211115,1183.42,1179.94,1184.78,1177.17,0.0036,4.220000000000027,일반언론,0.31900668576886343,0.09455587392550144,0.5864374403056352,1047.0,네이버금융,0.22727272727272727,0.22727272727272727,0.5454545454545454,22.0,334.0,99.0,614.0,5.0,5.0,12.0
20211116,1183.85,1183.56,1185.8,1175.3,0.0004,0.4299999999998363,일반언론,0.2338935574229692,0.12885154061624648,0.6372549019607843,714.0,네이버금융,0.8235294117647058,0.11764705882352941,0.058823529411764705,17.0,167.0,92.0,455.0,14.0,2.0,1.0
20211117,1180.46,1183.99,1186.96,1179.58,-0.0029,-3.3899999999998727,일반언론,0.2661764705882353,0.12794117647058822,0.6058823529411764,680.0,네이버금융,0.47058823529411764,0.29411764705882354,0.23529411764705882,17.0,181.0,87.0,412.0,8.0,5.0,4.0
20211118,1182.37,1180.58,1187.76,1177.92,0.0016,1.9099999999998545,일반언론,0.25217391304347825,0.12028985507246377,0.6275362318840579,690.0,네이버금융,0.875,0.125,0.0,16.0,174.0,83.0,433.0,14.0,2.0,0.0
20211119,1187.1,1182.99,1187.67,1181.16,0.004,4.730000000000018,일반언론,0.26586102719033233,0.11329305135951662,0.620845921450151,662.0,네이버금융,0.3333333333333333,0.3333333333333333,0.3333333333333333,15.0,176.0,75.0,411.0,5.0,5.0,5.0
20211122,1190.08,1188.77,1191.36,1184.81,0.0025,2.980000000000018,일반언론,0.29282296650717704,0.08421052631578947,0.6229665071770335,1045.0,네이버금융,0.2777777777777778,0.2777777777777778,0.4444444444444444,18.0,306.0,88.0,651.0,5.0,5.0,8.0
20211123,1189.08,1190.57,1192.47,1187.06,-0.0008,-1.0,일반언론,0.26080246913580246,0.12654320987654322,0.6126543209876543,648.0,네이버금융,0.7647058823529411,0.11764705882352941,0.11764705882352941,17.0,169.0,82.0,397.0,13.0,2.0,2.0
20211124,1188.77,1190.07,1190.79,1185.02,-0.0003,-0.3099999999999454,일반언론,0.3144560357675112,0.12965722801788376,0.555886736214605,671.0,네이버금융,0.7142857142857143,0.2857142857142857,0.0,14.0,211.0,87.0,373.0,10.0,4.0,0.0
20211125,1190.16,1188.81,1192.28,1187.82,0.0012,1.3900000000001,일반언론,0.2821997105643994,0.1287988422575977,0.5890014471780028,691.0,네이버금융,0.8666666666666667,0.06666666666666667,0.06666666666666667,15.0,195.0,89.0,407.0,13.0,1.0,1.0
20211126,1194.43,1190.24,1196.26,1189.74,0.0036,4.269999999999982,일반언론,0.24926253687315633,0.10914454277286136,0.6415929203539823,678.0,네이버금융,0.9230769230769231,0.07692307692307693,0.0,13.0,169.0,74.0,435.0,12.0,1.0,0.0
